도착 시군구 코드,자치구,남자,여자,합계,커피전문점,기타주점업,total,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구
11010,종로구,71890,78563,150453,3613,1413,5026,356,105,4500874,4348356,123.29810431733507,119.11998685075608,60.15130726931941,41.91128910533045,29075578,20258827.46
11020,중구,63495,68298,131793,3542,982,4524,173,102,3138112,3050645,113.69971014492754,110.530615942029,58.45052819157701,44.128266213436994,28733286,21692705.49
11030,용산구,109826,117280,227106,2076,1332,3408,326,69,3495720,3422432,119.96293754289636,117.44790665751545,58.49473956193934,34.24551511216526,26487237,15506848.68
11040,성동구,137620,147146,284766,1859,621,2480,432,58,2371151,2331836,90.49503854667584,88.99458056636898,58.87985072532899,39.00125676926962,27279447,18069555.27
11050,광진구,167562,183618,351180,1887,1577,3464,274,43,2365355,2382437,107.49170643035674,108.26798454896614,61.80717385389429,42.69763531679602,26804906,18517366.67
11060,동대문구,174120,185753,359873,1472,1082,2554,307,74,4530373,4426822,127.57301757152511,124.65707366523992,60.74535666564985,37.893985491057045,28277328,17639877.61
11070,중랑구,189462,198008,387470,1037,1000,2037,384,50,3200879,3155827,79.08286596664608,77.96978381717109,65.21502292682673,38.63433603285224,25059916,14845861.77
11080,성북구,208682,229486,438168,1384,1030,2414,595,98,5051648,5060251,112.28878812127678,112.4800168933938,60.97539109874098,41.78125411166273,27954290,19154699.51
11090,강북구,141185,151792,292977,1095,1275,2370,410,71,3998077,3858057,126.46539507812994,122.03634465743023,66.48680773249738,36.26758934725094,23924081,13050239.21
11100,도봉구,149675,159819,309494,837,477,1314,366,54,2771076,2695540,101.64982942665344,98.8789846300576,68.36554141370944,35.406292274461315,22060398,11425008.61
11110,노원구,241099,261826,502925,1748,844,2592,495,58,3553485,3497450,83.35643912737508,82.0419892094769,67.93371046736779,50.21750543395726,28628896,21162862.01
11120,은평구,223330,247539,470869,1296,925,2221,497,74,4296944,4223666,93.7256031060507,92.12725210487284,69.19720818602048,48.04357979647956,25717696,17855780.78
11130,서대문구,149879,170750,320629,1323,1127,2450,456,109,5069197,4978622,104.7203297043816,102.84921602247609,61.38655317507868,40.496264487738365,26741640,17641266.21
11140,마포구,174073,201089,375162,4475,2559,7034,558,100,4517711,4395035,95.57854316965324,92.98315949816995,61.9291102879107,51.62397665899014,30225617,25196011.04
11150,양천구,214161,225091,439252,1375,851,2226,319,57,3478159,3344254,96.4520950611464,92.73880369374116,62.9723058767208,43.95050080438208,22624816,15790623.83
11160,강서구,272338,296488,568826,2530,1709,4239,567,51,3981173,3963283,86.93276705389117,86.54212158267097,70.96019114210434,57.642190685895706,30486485,24764699.1
11170,구로구,204715,210936,415651,1384,1165,2549,486,80,4204229,4023135,114.70041468871064,109.7597806514978,65.30712691654416,41.42036758041297,25722714,16314364.44
11180,금천구,121592,119513,241105,1215,685,1900,346,56,3133461,3014364,123.08838433436776,118.41002474761362,67.40933246002592,30.07652245840536,19966105,8908425.34
11190,영등포구,195493,202307,397800,3295,1489,4784,465,100,4987187,5041026,116.71121668109804,117.9711684725375,61.30807098977743,54.47088992437248,30748266,27319166.72
11200,동작구,187623,202091,389714,1628,955,2583,435,93,4125466,3979142,108.46784456013042,104.6206552032392,59.79302746228641,38.83444067742143,26048952,16918301.75
11210,관악구,249026,248857,497883,2049,1672,3721,466,81,5862490,5996915,134.94671178325623,138.04099624795708,64.36688534335673,47.29530712645722,27501846,20207723.99
11220,서초구,196391,215687,412078,3897,1255,5152,601,99,5919552,5755058,113.62122113668208,110.46388606307222,64.03296779278968,63.44419732867633,32412912,32114881.69
11230,강남구,262991,287291,550282,7273,2528,9801,501,98,6960336,6597087,123.2572339295201,116.8246325482557,66.01025750898174,88.58993223634235,37279755,50031784.36
11240,송파구,316981,343044,660025,3372,1469,4841,470,60,4746623,4744766,99.0034832304355,98.96475054229936,71.78661863643588,79.38985580335859,33877900,37466057.7
11250,강동구,226237,237081,463318,1660,1349,3009,367,22,2515582,2460905,91.57894353635008,89.58844515635808,72.59769819258544,62.66685316933961,27092372,23386329.6
