도착 시군구 코드,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구
종로구,60.15130726931941,41.91128910533045,29075578,20258827.46
중구,58.45052819157701,44.128266213436994,28733286,21692705.49
용산구,58.49473956193934,34.24551511216526,26487237,15506848.68
성동구,58.87985072532899,39.00125676926962,27279447,18069555.27
광진구,61.80717385389429,42.697635316796024,26804906,18517366.67
동대문구,60.74535666564985,37.893985491057045,28277328,17639877.61
중랑구,65.21502292682673,38.63433603285224,25059916,14845861.77
성북구,60.97539109874098,41.78125411166273,27954290,19154699.51
강북구,66.48680773249738,36.26758934725094,23924081,13050239.21
도봉구,68.36554141370944,35.406292274461315,22060398,11425008.61
노원구,67.93371046736779,50.21750543395726,28628896,21162862.01
은평구,69.19720818602048,48.04357979647956,25717696,17855780.78
서대문구,61.38655317507868,40.496264487738365,26741640,17641266.21
마포구,61.9291102879107,51.62397665899014,30225617,25196011.04
양천구,62.972305876720796,43.950500804382074,22624816,15790623.83
강서구,70.96019114210434,57.642190685895706,30486485,24764699.1
구로구,65.30712691654416,41.42036758041297,25722714,16314364.44
금천구,67.40933246002592,30.076522458405357,19966105,8908425.34
영등포구,61.30807098977743,54.47088992437248,30748266,27319166.72
동작구,59.79302746228641,38.834440677421426,26048952,16918301.75
관악구,64.36688534335673,47.295307126457224,27501846,20207723.99
서초구,64.03296779278968,63.44419732867633,32412912,32114881.69
강남구,66.01025750898174,88.58993223634235,37279755,50031784.36
송파구,71.78661863643588,79.38985580335859,33877900,37466057.7
강동구,72.59769819258544,62.66685316933961,27092372,23386329.6
